add,del,files,url
31113,1,19,https://github.com/maximelafarie/spamtoberfest/pull/10
11,5,1,https://github.com/kunal-kushwaha/ML-Cloak/pull/4
1,0,1,https://github.com/wesbos/dad-jokes/pull/217
1,1,1,https://github.com/neon-bindings/website/pull/175
1,1,1,https://github.com/OCA/website-themes/pull/85
131,0,1,https://github.com/megubyte/lol-hacktoberfest/pull/1
46,0,1,https://github.com/codesankalp/dsalgo/pull/58
1,1,1,https://github.com/Rebuild-Black-Business/RBB-Website/pull/362
1,1,1,https://github.com/sbt/website/pull/937
1,1,1,https://github.com/vanruby/vanruby.github.io/pull/69
1,1,1,https://github.com/vanruby/vanruby.github.io/pull/68
1,1,1,https://github.com/cloudflare/cloudflare-docs-engine/pull/277
1,1,1,https://github.com/getredash/website/pull/501
1,2,1,https://github.com/boostorg/website/pull/554
1,1,1,https://github.com/COVID19Tracking/website/pull/1483
1,1,1,https://github.com/tent/tent.io/pull/243
1,1,1,https://github.com/WebAssembly/website/pull/213
1,1,1,https://github.com/intuit/qb-animation-library/pull/19
1,0,1,https://github.com/owntracks/android/pull/861
2,2,1,https://github.com/appveyor/website/pull/763
1,1,1,https://github.com/python-pillow/docker-images/pull/87
1,1,1,https://github.com/WebPlatformTest/HTML5test/pull/578
1,1,1,https://github.com/nim-lang/website/pull/224
3,2,1,https://github.com/openstreetmap/openstreetmap-website/pull/2873
5,1,1,https://github.com/parcel-bundler/website/pull/712
2,2,1,https://github.com/ReactionMechanismGenerator/RMG-website/pull/206
2,0,1,https://github.com/whatwg/html/pull/6007
2,1,1,https://github.com/parcel-bundler/website/pull/711
1,1,1,https://github.com/neon-bindings/website/pull/174
1,1,1,https://github.com/sbt/website/pull/936
3,3,1,https://github.com/christian-bromann/flask-webdriver-demo/pull/2
0,3,1,https://github.com/Hamakor/AugustPenguin/pull/202
2,1,1,https://github.com/appveyor/website/pull/762
3,0,1,https://github.com/designmodo/html-website-templates/pull/24
1,1,1,https://github.com/react-navigation/web/pull/54
1,1,1,https://github.com/neon-bindings/website/pull/173
1,1,1,https://github.com/UQComputingSociety/website/pull/216
1,1,1,https://github.com/hydrusnetwork/hydrus/pull/673
